,content,summary
19,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival.
20,i think about 100 millions of the views come from people who only wanted to  check the views﻿,i think about 100 millions of the views come from people who only wanted to  check the views﻿
21,subscribe to my channel people :D﻿,subscribe to my channel people :D﻿
22,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿
23,just checking the views﻿,just checking the views﻿
24,CHECK OUT MY CHANNEL,CHECK OUT MY CHANNEL
25,marketglory . com/strategygame/andrijamatf earn real money from game,marketglory . com/strategygame/andrijamatf earn real money from game
26,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,Im a 12 yr old music producer. I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!
27,Check me out! I'm kyle. I rap so yeah ﻿,Check me out! I rap so yeah ﻿
28,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,I dont even watch it anymore i just come here to check on 2 Billion or not﻿
29,"Subscribe to me for free Android games, apps.. ﻿","Subscribe to me for free Android games, apps.. ﻿"
30,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿
31,"Came here to check the views, goodbye.﻿","Came here to check the views, goodbye.﻿"
32,sub my channel for no reason -_-﻿,sub my channel for no reason -_-﻿
33,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿","Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it."
34,2 billion....Coming soon﻿,2 billion....Coming soon﻿
35,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans?
36,Check my channel please! And listen to the best music ever :P﻿,Check my channel please! And listen to the best music ever :P﻿
37,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿
38," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿","Hey everyone!! and to haters... You Hate, I WIN﻿"
39,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿","The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿"
40,YouTube/codytolleson for awesome videos I'll subscribe back ﻿,YouTube/codytolleson for awesome videos I'll subscribe back ﻿
41,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿
42,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! ( Must like - cZFcxsn0jnQ) ﻿
43,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿
44,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿","if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!"
45,....subscribe......  ......to my........  .....channel.......﻿,....subscribe......  ......to my........  .....channel.......﻿
46,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿","now its 1,884,034,783 views! comment the view count the next hour :P﻿"
47,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿
48,go here to check the views :3﻿,go here to check the views :3﻿
49,thumbs up if u checked this video to see hw views it got﻿,thumbs up if u checked this video to see hw views it got﻿
50,Plz subscribe to my channel and I will subscribe back xx﻿,Plz subscribe to my channel and I will subscribe back xx﻿
51,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿
52,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿
53,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿
54,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿
55,Pls follow this channel!! http://www.twitch.tv/sevadus﻿,Pls follow this channel!! http://www.twitch.tv/sevadus﻿
56,hi guys check my youtube channel﻿,hi guys check my youtube channel﻿
57,Subscribe and like to me for more how to videos on minecraft!﻿,Subscribe and like to me for more how to videos on minecraft!﻿
58,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿
59,Subscribe ME!﻿,Subscribe ME!﻿
60,Im just to check how much views it has﻿,Im just to check how much views it has﻿
61,The first comment is chuck norrus ovbiously :D﻿,The first comment is chuck norrus ovbiously :D﻿
62,Behold the most viewed youtube video in the history of ever﻿,Behold the most viewed youtube video in the history of ever﻿
63,when is this gonna hit 2 billion?﻿,when is this gonna hit 2 billion?﻿
64,the most viewed youtube video of all time?﻿,the most viewed youtube video of all time?﻿
65,"969,210 dislikes like dislike themselves﻿","969,210 dislikes like dislike themselves﻿"
66,psy=korean﻿,psy=korean﻿
67,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿","OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it?"
68,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿","This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿"
69,It's been back for quite a while now.,It's been back for quite a while now.
70,2 Billions in 2014,2 Billions in 2014
71,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿
72,Sub my channel!﻿,Sub my channel!﻿
73,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿
74,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿
75,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿","if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿"
76,http://hackfbaccountlive.com/?ref=4604617﻿,http://hackfbaccountlive.com/?ref=4604617﻿
77,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World!
78,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿
79,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿","Hi there~I'm group leader of Angel, a rookie Korean pop group. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM."
80,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿
81,Admit it you just came here to check the number of viewers ﻿,Admit it you just came here to check the number of viewers ﻿
82,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿","Just coming to check if people are still viewing this video. And  apparently, they still do.﻿"
83,Check my first video out﻿,Check my first video out﻿
84,Check my channel﻿,Check my channel﻿
85,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿
86,Suscribe My Channel Please XD lol﻿,Suscribe My Channel Please XD lol﻿
87,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,Comments section on this still active. Also 5277478 comments.
88,http://binbox.io/1FIRo#123﻿,http://binbox.io/1FIRo#123﻿
89,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿
90,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿
91,There is one video on my channel about my brother...﻿,There is one video on my channel about my brother...﻿
92,"Check my channel, please!﻿","Check my channel, please!﻿"
93,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿","Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site."
94,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿
95,Plizz withing my channel ﻿,Plizz withing my channel ﻿
96,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,I made a gaming channel (Unique right?) : L Angry Minecraft!﻿
97,Please help me go here http://www.gofundme.com/littlebrother﻿,Please help me go here http://www.gofundme.com/littlebrother﻿
98,Anybody who subscribes to me will get 10 subscribers﻿,Anybody who subscribes to me will get 10 subscribers﻿
99,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿
100,"My videos are half way decent, check them out if you want.﻿","My videos are half way decent, check them out if you want.﻿"
101,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿","they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer ."
102,subscribe to itz recaps and above diddle﻿,subscribe to itz recaps and above diddle﻿
103,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿
104,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,need money?Enjoy https://www.tsu.co/emerson_zanol﻿
105,Sub to my channel visuelgamingzNL I sub back﻿,Sub to my channel visuelgamingzNL I sub back﻿
106,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿
107,sub me if you dont like the song﻿,sub me if you dont like the song﻿
108,This is a weird video.﻿,This is a weird video.﻿
109,8 million likes xD even the subscribers not 8 million xD﻿,8 million likes xD even the subscribers not 8 million xD﻿
110,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!...
111,Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,Hi everyone! Then why not check out my music channel.
112,This song never gets old love it.﻿,This song never gets old love it.﻿
113,gofundme.com/grwmps﻿,gofundme.com/grwmps﻿
114,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿","Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿"
115,#2012bitches﻿,#2012bitches﻿
116,Made in china....﻿,Made in china....﻿
117,5 milions comentars and 2 bilion views﻿,5 milions comentars and 2 bilion views﻿
118,It is 0 zero﻿,It is 0 zero﻿
119,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿
120,This has had over 2 billion views.  Holy shit.﻿,This has had over 2 billion views. Holy shit.﻿
121,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿","how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿"
122,Suscribe my channel please﻿,Suscribe my channel please﻿
123,"2,124923004 wiews... wow﻿","2,124923004 wiews... wow﻿"
124,guys please subscribe me to help my channel grow please guys﻿,guys please subscribe me to help my channel grow please guys﻿
125,Great music anyway﻿,Great music anyway﻿
126,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿
127,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿","so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿"
128,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿
129,"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿","Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿"
130,Can somebody wake me up when we get to 3 billion views.﻿,Can somebody wake me up when we get to 3 billion views.﻿
131,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿
132,Justin bieber = gay ﻿,Justin bieber = gay ﻿
133,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,You gotta say its funny. At least you don't have JB's shit on  #1.﻿
134,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿
135,"Ahhh, 2 years ago....﻿","Ahhh, 2 years ago....﻿"
136,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿","Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿"
137,"check out ""starlitnightsky"" channel to see epic videos﻿","check out ""starlitnightsky"" channel to see epic videos﻿"
138,https://www.tsu.co/KodysMan plz ^^﻿,https://www.tsu.co/KodysMan plz ^^﻿
139,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿
140,http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿
141,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿
142,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿
143,Add me here...https://www.facebook.com/TLouXmusic﻿,Add me here...https://www.facebook.com/TLouXmusic﻿
144,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿
145,I think this is now a place to promote channels in the comment section lol.﻿,I think this is now a place to promote channels in the comment section lol.﻿
146,Get free gift cards and pay pal money!﻿,Get free gift cards and pay pal money!﻿
147,Check out pivot animations in my channel﻿,Check out pivot animations in my channel﻿
148,Follow me on twitter &amp; IG : __killuminati94﻿,Follow me on twitter &amp; IG : __killuminati94﻿
149,Check me out I'm all about gaming ﻿,Check me out I'm all about gaming ﻿
150,Oppa! Yeah! Best Song!﻿,Best Song!﻿
151,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿
152,https://www.facebook.com/teeLaLaLa﻿,https://www.facebook.com/teeLaLaLa﻿
153,http://www.twitch.tv/zxlightsoutxz﻿,http://www.twitch.tv/zxlightsoutxz﻿
154,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿
155,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿
156,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿","Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿"
157,Follow me on Twitter @mscalifornia95﻿,Follow me on Twitter @mscalifornia95﻿
158,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿
159,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿
160,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿
161,Incmedia.org where the truth meets you.﻿,Incmedia.org where the truth meets you.﻿
162,look at my channel i make minecraft pe lets play ﻿,look at my channel i make minecraft pe lets play ﻿
163,I found out this song now﻿,I found out this song now﻿
164,2 BILLION!!!﻿,2 BILLION!!!﻿
165,Song name??﻿,Song name??﻿
166,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿
167,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿
168,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿
169,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿","The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿"
170,Subscribe to me and I'll subscribe back!!!﻿,Subscribe to me and I'll subscribe back!!!﻿
171,http://flipagram.com/f/LUkA1QMrhF﻿,http://flipagram.com/f/LUkA1QMrhF﻿
172,For Christmas Song visit my channel! ;)﻿,For Christmas Song visit my channel! ;)
173,http://www.gofundme.com/gvr7xg﻿,http://www.gofundme.com/gvr7xg﻿
174,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿
175,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿
176,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿
177,https://www.surveymonkey.com/s/CVHMKLT﻿,https://www.surveymonkey.com/s/CVHMKLT﻿
178,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,Please give us a chance and check out the new music video on our channel! You won't be disappointed.﻿
179,Please subscribe to me﻿,Please subscribe to me﻿
180,"This is the best, funny and viral video of history (youtube) THE TRUE﻿","This is the best, funny and viral video of history (youtube) THE TRUE﻿"
181,Please check out my vidios﻿,Please check out my vidios﻿
182,OPPA GANGNAM STYLE!!!﻿,OPPA GANGNAM STYLE!!!﻿
183,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿","The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views?"
184,OPPA &lt;3﻿,OPPA &lt;3﻿
185,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿
186,most viewed video in the world﻿,most viewed video in the world﻿
187,I'm here to check the views.. holy shit﻿,I'm here to check the views.. holy shit﻿
188,"Dear person reading this, You are beautiful and loving Have a great day﻿","Dear person reading this, You are beautiful and loving Have a great day﻿"
189,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿
